VID,BID,file_type,org_filename,new_filename,folder_name
1002,1002,jpg,1002_1002.jpg,01-10-26-0250-0350-0060.1002.S.570528.jpg,102601
1005,1005,jpg,1005_1005.jpg,01-10-26-0250-0360-0040.1005.S.570529.jpg,102601
1007,1007,jpg,1007_1007.jpg,01-10-26-0250-0360-0080.1007.S.570530.jpg,102601
1008,1008,jpg,1008_1008.jpg,01-10-26-0250-0360-0100.1008.S.570531.jpg,102601
1009,1009,jpg,1009_1009.jpg,01-10-26-0250-0370-0010.1009.S.570532.jpg,102601
1010,1010,jpg,1010_1010.jpg,01-10-26-0250-0370-0040.1010.S.570533.jpg,102601
1013,1013,jpg,1013_1013.jpg,01-10-26-0250-0380-0020.1013.S.570534.jpg,102601
1017,1017,jpg,1017_1017.jpg,01-10-26-0250-0390-0040.1017.S.570535.jpg,102601
1026,1026,jpg,1026_1026.jpg,36-12-27-0270-0010-0000.1026.S.570536.jpg,122736
1029,1029,jpg,1029_1029.jpg,36-12-27-0270-0050-0020.1029.S.570537.jpg,122736
1030,1030,jpg,1030_1030.jpg,36-12-27-0270-0050-0030.1030.S.570538.jpg,122736
1036,1036,jpg,1036_1036.jpg,36-12-27-0270-0060-0050.1036.S.570539.jpg,122736
103,103,jpg,103_103.jpg,49-09-27-0014-5220-0030.103.S.570540.jpg,092749
1054,1054,jpg,1054_1054.jpg,36-12-27-0270-0130-0020.1054.S.570541.jpg,122736
1055,1055,jpg,1055_1055.jpg,36-12-27-0270-0130-0030.1055.S.570542.jpg,122736
1068,1068,jpg,1068_1068.jpg,36-12-27-0270-0140-0040.1068.S.570543.jpg,122736
1075,1075,jpg,1075_1075.jpg,39-11-26-0300-0000-0110.1075.S.570544.jpg,112639
110,110,jpg,110_110.jpg,49-09-27-0015-0000-0040.110.S.570545.jpg,092749
113,113,jpg,113_113.jpg,49-09-27-0015-0000-0070.113.S.570546.jpg,092749
114,114,jpg,114_114.jpg,49-09-27-0015-0000-0071.114.S.570547.jpg,092749
115,211403,jpg,115_211403.jpg,49-09-27-0015-0000-0080.211403.S.570548.jpg,092749
117,117,jpg,117_117.jpg,49-09-27-0015-0000-0100.117.S.570549.jpg,092749
11,11,jpg,11_11.jpg,13-08-24-0010-0000-0120.11.S.570550.jpg,082413
122,122,jpg,122_122.jpg,49-09-27-0015-0000-0130.122.S.570551.jpg,092749
124,124,jpg,124_124.jpg,49-09-27-0015-0000-0150.124.S.570552.jpg,092749
125,125,jpg,125_125.jpg,49-09-27-0015-0000-0160.125.S.570553.jpg,092749
126,126,jpg,126_126.jpg,49-09-27-0015-0000-0161.126.S.570554.jpg,092749
129,211158,jpg,129_211158.jpg,49-09-27-0015-0000-0172.211158.S.570555.jpg,092749
12,12,jpg,12_12.jpg,13-08-24-0010-0000-0130.12.S.570556.jpg,082413
