VID,BID,file_type,org_filename,new_filename,folder_name
103,00570528,jpg,103_103.jpg,49-09-27-0014-5220-0030.00570528.jpg,092749,"SKETCH IMPORT"
110,00570529,jpg,110_110.jpg,49-09-27-0015-0000-0040.00570529.jpg,092749,"SKETCH IMPORT"
113,00570530,jpg,113_113.jpg,49-09-27-0015-0000-0070.00570530.jpg,092749,"SKETCH IMPORT"
114,00570531,jpg,114_114.jpg,49-09-27-0015-0000-0071.00570531.jpg,092749,"SKETCH IMPORT"
115,00570532,jpg,115_211403.jpg,49-09-27-0015-0000-0080.00570532.jpg,092749,"SKETCH IMPORT"
117,00570533,jpg,117_117.jpg,49-09-27-0015-0000-0100.00570533.jpg,092749,"SKETCH IMPORT"
11,00570534,jpg,11_11.jpg,13-08-24-0010-0000-0120.00570534.jpg,082413,"SKETCH IMPORT"
122,00570535,jpg,122_122.jpg,49-09-27-0015-0000-0130.00570535.jpg,092749,"SKETCH IMPORT"
124,00570536,jpg,124_124.jpg,49-09-27-0015-0000-0150.00570536.jpg,092749,"SKETCH IMPORT"
125,00570537,jpg,125_125.jpg,49-09-27-0015-0000-0160.00570537.jpg,092749,"SKETCH IMPORT"
126,00570538,jpg,126_126.jpg,49-09-27-0015-0000-0161.00570538.jpg,092749,"SKETCH IMPORT"
129,00570539,jpg,129_211158.jpg,49-09-27-0015-0000-0172.00570539.jpg,092749,"SKETCH IMPORT"
12,00570540,jpg,12_12.jpg,13-08-24-0010-0000-0130.00570540.jpg,082413,"SKETCH IMPORT"
130,00570541,jpg,130_130.jpg,49-09-27-0015-0000-0180.00570541.jpg,092749,"SKETCH IMPORT"
134,00570542,jpg,134_134.jpg,49-09-27-0015-0000-0200.00570542.jpg,092749,"SKETCH IMPORT"
135,00570543,jpg,135_135.jpg,49-09-27-0015-0000-0201.00570543.jpg,092749,"SKETCH IMPORT"
136,00570544,jpg,136_136.jpg,49-09-27-0015-0000-0210.00570544.jpg,092749,"SKETCH IMPORT"
138,00570545,jpg,138_138.jpg,49-09-27-0015-0000-0212.00570545.jpg,092749,"SKETCH IMPORT"
139,00570546,jpg,139_139.jpg,49-09-27-0015-0000-0220.00570546.jpg,092749,"SKETCH IMPORT"
140,00570547,jpg,140_140.jpg,49-09-27-0015-0000-0221.00570547.jpg,092749,"SKETCH IMPORT"
141,00570548,jpg,141_141.jpg,49-09-27-0015-0000-0230.00570548.jpg,092749,"SKETCH IMPORT"
143,00570549,jpg,143_143.jpg,49-09-27-0015-0000-0251.00570549.jpg,092749,"SKETCH IMPORT"
144,00570550,jpg,144_144.jpg,49-09-27-0015-0000-0252.00570550.jpg,092749,"SKETCH IMPORT"
145,00570551,jpg,145_145.jpg,49-09-27-0015-0000-0260.00570551.jpg,092749,"SKETCH IMPORT"
146,00570552,jpg,146_146.jpg,49-09-27-0015-0000-0261.00570552.jpg,092749,"SKETCH IMPORT"
148,00570553,jpg,148_148.jpg,49-09-27-0015-0000-0280.00570553.jpg,092749,"SKETCH IMPORT"
149,00570554,jpg,149_149.jpg,49-09-27-0015-0000-0281.00570554.jpg,092749,"SKETCH IMPORT"
150,00570555,jpg,150_150.jpg,49-09-27-0015-0000-0290.00570555.jpg,092749,"SKETCH IMPORT"
151,00570556,jpg,151_151.jpg,49-09-27-0015-0000-0291.00570556.jpg,092749,"SKETCH IMPORT"
152,00570557,jpg,152_152.jpg,49-09-27-0015-0000-0300.00570557.jpg,092749,"SKETCH IMPORT"
153,00570558,jpg,153_153.jpg,49-09-27-0015-0000-0301.00570558.jpg,092749,"SKETCH IMPORT"
154,00570559,jpg,154_154.jpg,49-09-27-0015-0000-0310.00570559.jpg,092749,"SKETCH IMPORT"
155,00570560,jpg,155_155.jpg,49-09-27-0015-0000-0311.00570560.jpg,092749,"SKETCH IMPORT"
156,00570561,jpg,156_156.jpg,49-09-27-0015-0000-0320.00570561.jpg,092749,"SKETCH IMPORT"
157,00570562,jpg,157_157.jpg,49-09-27-0015-0000-0321.00570562.jpg,092749,"SKETCH IMPORT"
159,00570563,jpg,159_159.jpg,49-09-27-0015-0000-0331.00570563.jpg,092749,"SKETCH IMPORT"
15,00570564,jpg,15_15.jpg,13-08-24-0010-0000-0160.00570564.jpg,082413,"SKETCH IMPORT"
160,00570565,jpg,160_160.jpg,49-09-27-0015-0000-0340.00570565.jpg,092749,"SKETCH IMPORT"
163,00570566,jpg,163_163.jpg,49-09-27-0015-0000-0361.00570566.jpg,092749,"SKETCH IMPORT"
165,00570567,jpg,165_165.jpg,49-09-27-0015-0000-0371.00570567.jpg,092749,"SKETCH IMPORT"
166,00570568,jpg,166_166.jpg,49-09-27-0015-0000-0380.00570568.jpg,092749,"SKETCH IMPORT"
166,00570569,jpg,166_211561.jpg,49-09-27-0015-0000-0380.00570569.jpg,092749,"SKETCH IMPORT"
167,00570570,jpg,167_167.jpg,49-09-27-0015-0000-0390.00570570.jpg,092749,"SKETCH IMPORT"
16,00570571,jpg,16_16.jpg,13-08-24-0010-0000-0170.00570571.jpg,082413,"SKETCH IMPORT"
170,00570572,jpg,170_170.jpg,49-09-27-0015-0000-0410.00570572.jpg,092749,"SKETCH IMPORT"
171,00570573,jpg,171_171.jpg,49-09-27-0015-0000-0411.00570573.jpg,092749,"SKETCH IMPORT"
173,00570574,jpg,173_173.jpg,49-09-27-0015-0000-0420.00570574.jpg,092749,"SKETCH IMPORT"
174,00570575,jpg,174_174.jpg,49-09-27-0015-0000-0421.00570575.jpg,092749,"SKETCH IMPORT"
189,00570576,jpg,189_189.jpg,49-09-27-0015-0000-0551.00570576.jpg,092749,"SKETCH IMPORT"
18,00570577,jpg,18_18.jpg,13-08-24-0010-0000-0210.00570577.jpg,082413,"SKETCH IMPORT"
190,00570578,jpg,190_190.jpg,49-09-27-0015-0000-0560.00570578.jpg,092749,"SKETCH IMPORT"
191,00570579,jpg,191_191.jpg,49-09-27-0015-0000-0580.00570579.jpg,092749,"SKETCH IMPORT"
192,00570580,jpg,192_192.jpg,49-09-27-0015-0000-0590.00570580.jpg,092749,"SKETCH IMPORT"
194,00570581,jpg,194_194.jpg,49-09-27-0015-0000-0601.00570581.jpg,092749,"SKETCH IMPORT"
195,00570582,jpg,195_195.jpg,49-09-27-0015-0000-0610.00570582.jpg,092749,"SKETCH IMPORT"
197,00570583,jpg,197_197.jpg,49-09-27-0015-0000-0630.00570583.jpg,092749,"SKETCH IMPORT"
200,00570584,jpg,200_200.jpg,49-09-27-0015-0000-0660.00570584.jpg,092749,"SKETCH IMPORT"
