VID,BID,file_type,org_filename,new_filename,folder_name
11,11,jpg,11_11.jpg,13-08-24-0010-0000-0120.11.S.570528.jpg,082413
12,12,jpg,12_12.jpg,13-08-24-0010-0000-0130.12.S.570529.jpg,082413
15,15,jpg,15_15.jpg,13-08-24-0010-0000-0160.15.S.570530.jpg,082413
16,16,jpg,16_16.jpg,13-08-24-0010-0000-0170.16.S.570531.jpg,082413
18,18,jpg,18_18.jpg,13-08-24-0010-0000-0210.18.S.570532.jpg,082413
22,22,jpg,22_22.jpg,13-08-24-0010-0000-0250.22.S.570533.jpg,082413
23,23,jpg,23_23.jpg,13-08-24-0010-0000-0260.23.S.570534.jpg,082413
24,24,jpg,24_24.jpg,13-08-24-0010-0000-0270.24.S.570535.jpg,082413
25,211363,jpg,25_211363.jpg,13-08-24-0010-0000-0280.211363.S.570536.jpg,082413
2,2,jpg,2_2.jpg,13-08-24-0010-0000-0020.2.S.570537.jpg,082413
30,30,jpg,30_30.jpg,13-08-24-0010-0000-0330.30.S.570538.jpg,082413
31,31,jpg,31_31.jpg,13-08-24-0010-0000-0340.31.S.570539.jpg,082413
35,35,jpg,35_35.jpg,48-09-27-0013-0010-0011.35.S.570540.jpg,092748
37,37,jpg,37_37.jpg,48-09-27-0013-0010-0013.37.S.570541.jpg,092748
38,38,jpg,38_38.jpg,48-09-27-0013-0010-0014.38.S.570542.jpg,092748
3,3,jpg,3_3.jpg,13-08-24-0010-0000-0030.3.S.570543.jpg,082413
41,41,jpg,41_41.jpg,48-09-27-0013-0010-0040.41.S.570544.jpg,092748
42,42,jpg,42_42.jpg,48-09-27-0013-0010-0041.42.S.570545.jpg,092748
47,47,jpg,47_47.jpg,48-09-27-0013-0010-0072.47.S.570546.jpg,092748
4,4,jpg,4_4.jpg,13-08-24-0010-0000-0040.4.S.570547.jpg,082413
53,53,jpg,53_53.jpg,48-09-27-0013-0010-0120.53.S.570548.jpg,092748
59,200018,jpg,59_200018.jpg,48-09-27-0013-0010-0170.200018.S.570549.jpg,092748
59,200019,jpg,59_200019.jpg,48-09-27-0013-0010-0170.200019.S.570550.jpg,092748
59,59,jpg,59_59.jpg,48-09-27-0013-0010-0170.59.S.570551.jpg,092748
63,63,jpg,63_63.jpg,48-09-27-0013-0010-0190.63.S.570552.jpg,092748
67,67,jpg,67_67.jpg,48-09-27-0013-0010-0231.67.S.570553.jpg,092748
6,6,jpg,6_6.jpg,13-08-24-0010-0000-0060.6.S.570554.jpg,082413
73,73,jpg,73_73.jpg,48-09-27-0013-0010-0270.73.S.570555.jpg,092748
75,75,jpg,75_75.jpg,48-09-27-0013-0010-0280.75.S.570556.jpg,092748
8,8,jpg,8_8.jpg,13-08-24-0010-0000-0090.8.S.570557.jpg,082413
